Round 1, 2017; Carlton; 7; 4; Collingwood; 1; 5
Round 1, 2017; Adelaide; 7; 6; Greater Western Sydney; 1; 6
Round 1, 2017; Western Bulldogs; 6; 8; Fremantle; 1; 6
Round 1, 2017; Melbourne; 1; 4; Brisbane; 4; 1
Round 2, 2017; Western Bulldogs; 2; 11; Adelaide; 7; 6
Round 2, 2017; Carlton; 7; 5; Greater Western Sydney; 5; 4
Round 2, 2017; Collingwood; 4; 1; Melbourne; 7; 2
Round 2, 2017; Fremantle; 3; 5; Brisbane; 5; 6
Round 3, 2017; Greater Western Sydney; 7; 1; Fremantle; 6; 7
Round 3, 2017; Brisbane; 4; 3; Collingwood; 3; 5
Round 3, 2017; Western Bulldogs; 4; 5; Melbourne; 6; 7
Round 3, 2017; Adelaide; 2; 5; Carlton; 2; 2
Round 4, 2017; Melbourne; 6; 6; Carlton; 5; 6
Round 4, 2017; Brisbane; 6; 7; Greater Western Sydney; 1; 3
Round 4, 2017; Western Bulldogs; 3; 7; Collingwood; 5; 2
Round 4, 2017; Fremantle; 3; 5; Adelaide; 6; 10
Round 5, 2017; Greater Western Sydney; 3; 2; Melbourne; 1; 9
Round 5, 2017; Carlton; 8; 6; Western Bulldogs; 7; 6
Round 5, 2017; Fremantle; 4; 7; Collingwood; 5; 2
Round 5, 2017; Adelaide; 4; 6; Brisbane; 5; 3
Round 6, 2017; Fremantle; 6; 7; Carlton; 4; 3
Round 6, 2017; Brisbane; 2; 11; Western Bulldogs; 2; 4
Round 6, 2017; Adelaide; 5; 2; Melbourne; 5; 4
Round 6, 2017; Collingwood; 7; 13; Greater Western Sydney; 3; 1
Round 7, 2017; Melbourne; 11; 4; Fremantle; 2; 4
Round 7, 2017; Greater Western Sydney; 3; 2; Western Bulldogs; 7; 10
Round 7, 2017; Collingwood; 7; 4; Adelaide; 10; 10
Round 7, 2017; Carlton; 6; 1; Brisbane; 5; 7
Grand Final, 2017; Brisbane; 4; 5; Adelaide; 4; 11
Round 1, 2018; Carlton; 3; 4; Collingwood; 2; 2
Round 1, 2018; Melbourne; 7; 3; Greater Western Sydney; 6; 3
Round 1, 2018; Adelaide; 3; 1; Brisbane; 4; 7
Round 1, 2018; Western Bulldogs; 7; 7; Fremantle; 3; 5
Round 2, 2018; Greater Western Sydney; 1; 3; Carlton; 3; 12
Round 2, 2018; Melbourne; 8; 8; Adelaide; 4; 0
Round 2, 2018; Fremantle; 6; 4; Collingwood; 4; 3
Round 2, 2018; Brisbane; 3; 6; Western Bulldogs; 5; 3
Round 3, 2018; Adelaide; 6; 5; Western Bulldogs; 5; 4
Round 3, 2018; Carlton; 2; 6; Brisbane; 6; 4
Round 3, 2018; Collingwood; 5; 5; Greater Western Sydney; 7; 6
Round 3, 2018; Fremantle; 6; 0; Melbourne; 4; 7
Round 4, 2018; Western Bulldogs; 12; 14; Carlton; 2; 1
Round 4, 2018; Brisbane; 3; 4; Fremantle; 2; 3
Round 4, 2018; Melbourne; 3; 6; Collingwood; 9; 4
Round 4, 2018; Greater Western Sydney; 2; 7; Adelaide; 2; 7
